,Arabic name,عبد,# of Passages (as of last update),# of Words (as of last update),Witness ,Formatted,Organized by Story,Uploaded to Github,Last Date Updated,Notes,,,,,,,,,,,,,,,,
,,,,,,,,,,6/19/23: 25 new passages added on 6/19/23 on search for إبراهيم بن المختار .,,,,,,,,,,,,,,,,
42.       ,Ibrāhīm b. Saʿd b. Ibrāhīm b. ʿAbd al-Raḥmān al-Madinī al-Zuhrī,ابراهيم بن سعد بن ابراهيم بن عبد الرحمن ,1122,157909,WSACD,Y,Y,,,NOTE: Line 1 contains the formatted and arranged narrative passages.,,,,,,,,,,,,,,,,
,,,263,26260,“,Y,Y,,,Line 2 are those passages formatted and arranged into bios that do not clearly fit into the narrative.,,,,,,,,,,,,,,,,
,,,144,16293,“,Y,Y,,,Line 3 contains passages formatted and arranged by fiqh-ic content that do not yet fit into narrative.,,,,,,,,,,,,,,,,
,,,254,15469,“,,,,,Fine for are the remaining passages that are formatted but not yet arranged into narrative. 215931 words total as of  6/19/23.,,,,,,,,,,,,,,,,
43.       ,Ibrāhīm b. Ṭahmān b. Shuʿbah al-Khurāsānī al-Harawī,ابراهيم بن طهمان بن شعبة,,,WITSK,,,,,6/21/23 file added to epp. Needs to be formatted and organized. ,,,,,,,,,,,,,,,,
44.       ,ʿĪsā b. Maysarah al-Rāzī,عيسى بن ميسرة الرازي,,,WIMRZ,,,,,,,,,,,,,,,,,,,,,
45.       ,ʿĪsā b. Yūnus b. Abī Isḥāq al-Sabīʿī al-Kufī ****,عسى بن يونس بن ابي اسحاق السبيعي,,,WIYAS,,,,,,,,,,,,,,,,,,,,,
46.       ,"Isḥāq b. Bashr b. Muḥammad b. ʿAbd Allāh b. Sālim, Abū Ḥudhayfah al-Bukhārī",اسحاق بن بشر بن محمد بن عيد الله,,,WIBMA,,,,,6/21/23 Added to epp. Needs to be formatted and arranged. ,,,,,,,,,,,,,,,,
47.       ,Ismāʿīl b. Abī Uways,اسماعيل بن ابي اويس,,,WISAU,,,,,6/21/23 Added to epp. Needs to be formatted and arranged.,,,,,,,,,,,,,,,,
